order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date
140,11,finished,30-07-2023 - 13:50:33,30-07-2023 - 14:59:33,31-07-2023,1/8/2023
141,26,finished,01-08-2023 - 00:23:58,01-08-2023 - 01:34:58,3/8/2023,9/8/2023
142,32,finished,03-08-2023 - 14:34:45,03-08-2023 - 16:18:45,5/8/2023,8/8/2023
143,14,finished,05-08-2023 - 02:48:46,05-08-2023 - 03:10:46,6/8/2023,12/8/2023
144,30,finished,06-08-2023 - 15:11:27,06-08-2023 - 16:44:27,9/8/2023,16-08-2023
145,38,finished,07-08-2023 - 14:24:43,07-08-2023 - 14:54:43,10/8/2023,13-08-2023
146,8,finished,09-08-2023 - 15:37:40,09-08-2023 - 17:27:40,12/8/2023,15-08-2023
147,11,pengiriman,11-08-2023 - 10:45:12,11-08-2023 - 11:58:12,13-08-2023,14-08-2023
148,20,finished,12-08-2023 - 09:45:29,12-08-2023 - 11:03:29,13-08-2023,19-08-2023
149,27,finished,14-08-2023 - 00:26:18,14-08-2023 - 01:45:18,16-08-2023,19-08-2023
150,12,finished,16-08-2023 - 05:34:48,16-08-2023 - 07:21:48,19-08-2023,24-08-2023
151,29,finished,17-08-2023 - 03:31:31,17-08-2023 - 04:18:31,18-08-2023,24-08-2023
152,6,finished,18-08-2023 - 07:38:05,18-08-2023 - 08:28:05,21-08-2023,23-08-2023
153,10,finished,20-08-2023 - 20:57:11,20-08-2023 - 21:48:11,21-08-2023,24-08-2023
154,19,finished,22-08-2023 - 05:06:09,22-08-2023 - 06:33:09,23-08-2023,24-08-2023
155,19,finished,24-08-2023 - 06:57:42,24-08-2023 - 08:56:42,25-08-2023,31-08-2023
156,42,finished,26-08-2023 - 02:36:43,26-08-2023 - 04:23:43,29-08-2023,3/9/2023
157,49,finished,27-08-2023 - 19:53:44,27-08-2023 - 21:36:44,29-08-2023,4/9/2023
158,29,finished,29-08-2023 - 05:01:15,29-08-2023 - 07:01:15,1/9/2023,5/9/2023
159,42,finished,31-08-2023 - 11:17:11,31-08-2023 - 12:04:11,1/9/2023,8/9/2023
160,7,finished,02-09-2023 - 00:03:14,02-09-2023 - 01:30:14,5/9/2023,6/9/2023
161,39,diterima untuk diproses,04-09-2023 - 00:16:21,04-09-2023 - 01:18:21,7/9/2023,12/9/2023
162,28,diterima untuk diproses,06-09-2023 - 06:27:38,06-09-2023 - 06:42:38,8/9/2023,13-09-2023
163,45,finished,08-09-2023 - 05:03:40,08-09-2023 - 06:35:40,10/9/2023,13-09-2023
164,13,finished,09-09-2023 - 04:00:17,09-09-2023 - 04:51:17,10/9/2023,13-09-2023
165,46,finished,11-09-2023 - 09:02:17,11-09-2023 - 09:55:17,13-09-2023,14-09-2023
166,14,finished,13-09-2023 - 13:31:57,13-09-2023 - 15:17:57,16-09-2023,17-09-2023
167,11,finished,14-09-2023 - 15:27:48,14-09-2023 - 17:08:48,16-09-2023,20-09-2023
168,25,finished,15-09-2023 - 01:47:46,15-09-2023 - 01:59:46,16-09-2023,20-09-2023
169,8,diterima untuk diproses,16-09-2023 - 10:15:10,16-09-2023 - 10:25:10,19-09-2023,21-09-2023
170,39,finished,18-09-2023 - 06:16:04,18-09-2023 - 06:27:04,19-09-2023,24-09-2023
171,24,finished,19-09-2023 - 19:18:52,19-09-2023 - 20:33:52,22-09-2023,28-09-2023
172,26,finished,20-09-2023 - 14:20:29,20-09-2023 - 16:11:29,21-09-2023,22-09-2023
173,36,finished,22-09-2023 - 08:17:10,22-09-2023 - 09:27:10,23-09-2023,26-09-2023
174,11,finished,24-09-2023 - 04:43:39,24-09-2023 - 05:31:39,26-09-2023,3/10/2023
175,30,finished,25-09-2023 - 07:58:09,25-09-2023 - 09:04:09,27-09-2023,2/10/2023
176,19,finished,26-09-2023 - 04:59:30,26-09-2023 - 05:44:30,28-09-2023,29-09-2023
177,50,finished,28-09-2023 - 08:36:01,28-09-2023 - 10:27:01,1/10/2023,5/10/2023
178,35,finished,29-09-2023 - 00:29:07,29-09-2023 - 02:22:07,2/10/2023,7/10/2023
179,16,finished,30-09-2023 - 04:25:26,30-09-2023 - 05:59:26,1/10/2023,2/10/2023
180,28,finished,01-10-2023 - 18:11:54,01-10-2023 - 19:54:54,4/10/2023,7/10/2023
181,11,finished,02-10-2023 - 09:07:11,02-10-2023 - 09:51:11,5/10/2023,7/10/2023
182,49,finished,04-10-2023 - 09:46:30,04-10-2023 - 10:30:30,7/10/2023,10/10/2023
183,24,finished,05-10-2023 - 18:20:38,05-10-2023 - 19:23:38,6/10/2023,8/10/2023
184,21,finished,07-10-2023 - 17:04:01,07-10-2023 - 17:07:01,8/10/2023,11/10/2023
185,7,finished,09-10-2023 - 20:50:05,09-10-2023 - 20:59:05,12/10/2023,19-10-2023
186,40,finished,10-10-2023 - 10:13:03,10-10-2023 - 10:48:03,11/10/2023,14-10-2023
187,31,finished,11-10-2023 - 02:20:03,11-10-2023 - 03:38:03,12/10/2023,16-10-2023
188,1,finished,13-10-2023 - 08:10:27,13-10-2023 - 08:30:27,15-10-2023,20-10-2023
189,26,finished,15-10-2023 - 11:29:50,15-10-2023 - 13:18:50,16-10-2023,19-10-2023
190,5,finished,17-10-2023 - 22:24:39,17-10-2023 - 23:52:39,20-10-2023,21-10-2023
191,20,finished,19-10-2023 - 03:47:55,19-10-2023 - 05:33:55,20-10-2023,24-10-2023
192,4,finished,20-10-2023 - 17:40:17,20-10-2023 - 18:42:17,23-10-2023,30-10-2023
193,30,finished,22-10-2023 - 23:44:59,23-10-2023 - 01:09:59,26-10-2023,2/11/2023
194,31,finished,24-10-2023 - 08:18:19,24-10-2023 - 09:06:19,25-10-2023,29-10-2023
195,45,finished,25-10-2023 - 18:52:37,25-10-2023 - 20:39:37,26-10-2023,29-10-2023
196,17,finished,27-10-2023 - 01:37:18,27-10-2023 - 02:16:18,28-10-2023,31-10-2023
197,5,diterima untuk diproses,28-10-2023 - 09:00:35,28-10-2023 - 10:56:35,30-10-2023,5/11/2023
198,42,finished,30-10-2023 - 19:27:36,30-10-2023 - 19:57:36,2/11/2023,6/11/2023
199,3,finished,31-10-2023 - 11:23:57,31-10-2023 - 13:01:57,1/11/2023,8/11/2023
200,28,finished,31-10-2023 - 12:24:00,31-10-2023 - 13:31:45,1/11/2023,8/11/2023
